Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
131,1365,159,9.91077e+07,126,5,0,0,9137900,27281244,,879112,658040,3138820,1532636,2929292,,3112636,4450796,6142620,8859816,4715376
132,1377,154,9.45712e+07,128,4,0,0,9138100,27262252,,879184,658072,3138908,1532628,2929308,,3102596,4431296,6134216,8881180,4712964
133,1388,150,1.05479e+08,128,5,0,0,9138292,27167756,,879164,658048,3139048,1532708,2929324,,3106404,4432044,6089308,8834044,4705956
134,1399,153,9.43683e+07,129,5,0,0,9138360,27231732,,879176,658032,3138992,1532844,2929316,,3108796,4432268,6144524,8863536,4682608
135,1412,160,1.04015e+08,130,5,0,0,9138408,27187952,,879184,658052,3138988,1532804,2929380,,3107196,4422060,6146844,8810152,4701700
136,1424,158,9.73509e+07,130,5,0,0,9138484,27214836,,879184,658044,3139000,1532804,2929452,,3105548,4417552,6145328,8858680,4687728
137,1436,157,8.84931e+07,131,5,0,0,9138764,27082560,,879320,658196,3139012,1532776,2929460,,3087176,4351792,6124756,8859232,4659604
138,1446,163,1.00407e+08,133,5,0,0,9139108,27146000,,879332,658372,3139000,1532880,2929524,,3089312,4407224,6142160,8856156,4651148
139,1458,154,9.66515e+07,134,5,0,0,9138964,27122628,,879336,658192,3138992,1532848,2929596,,3089908,4395164,6147288,8837848,4652420
140,1470,167,1.06518e+08,135,5,0,0,9139084,27122488,,879356,658204,3138996,1532924,2929604,,3085680,4395196,6143456,8837576,4660580
141,1484,171,9.31956e+07,137,4,0,0,9139228,27028780,,879456,658204,3139032,1532940,2929596,,3024296,4401316,6108908,8834164,4660096
142,1495,182,1.03951e+08,137,5,0,0,9139512,26984220,,879408,658292,3139088,1533132,2929592,,3083812,4373736,6091588,8775984,4659100
143,1509,165,9.57535e+07,137,6,0,0,9139548,27091920,,879400,658336,3139148,1533048,2929616,,3095128,4395352,6125728,8823036,4652676
144,1522,160,9.28494e+07,138,6,0,0,9139580,27030696,,879472,658280,3139164,1533064,2929600,,3086436,4364020,6108700,8820848,4650692
145,1533,175,1.04863e+08,140,5,0,0,9139744,27035736,,879440,658432,3139208,1533064,2929600,,3063444,4375116,6124288,8821560,4651328
146,1545,184,9.94581e+07,141,5,0,0,9139856,27031480,,879544,658416,3139216,1533060,2929620,,3066300,4382528,6124384,8830084,4628184
147,1558,175,1.04601e+08,142,5,0,0,9140172,26986500,,879556,658504,3139268,1533136,2929708,,3065480,4384096,6105008,8831544,4600372
