Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,5,Free,0,1,2,3,4,5
123,5,0,0,110617484,166018404,,17252020,18281968,17977296,18717660,17972008,20416532,,28234736,28146120,28515040,27067388,28642796,25412324
124,144,0,0,110501164,166095312,,17141292,18292796,17978428,18720316,17977068,20391264,,28291712,28133092,28508028,27085160,28648804,25428516
125,244,0,0,110520272,166068704,,17139444,18288808,17980476,18725532,17978956,20407056,,28302312,28143756,28516220,27058876,28640796,25406744
126,199,0,0,110547212,166106320,,17082888,18290316,17982748,18729372,17981808,20480080,,28322300,28128444,28506492,27067840,28623060,25458184
127,244,0,0,110641068,165909852,,17171536,18288352,17983412,18729708,17980412,20487648,,28242284,28143248,28504940,27062480,28632820,25324080
128,224,0,0,110563752,165966468,,17121012,18292940,17982848,18735644,17985184,20446124,,28328732,28131760,28501868,27043060,28629968,25331080
129,3,0,0,110752812,165819444,,17295172,18286860,17983988,18748296,17979816,20458680,,28174764,28129320,28485848,27061964,28634692,25332856
130,103,0,0,110451876,166056880,,17025876,18296092,17988160,18736004,17989708,20416036,,28387488,28125912,28494620,27078948,28625604,25344308
131,164,0,0,110595856,165881560,,17093044,18304224,17987964,18747940,17983064,20479620,,28295076,28130904,28503728,27056644,28614276,25280932
132,124,0,0,110733652,165750080,,17128444,18309260,17995840,18755112,17981956,20563040,,28232396,28115916,28498928,27063356,28614776,25224708
133,243,0,0,110640032,165795788,,17085736,18302428,17990612,18745160,17979292,20536804,,28306216,28133648,28500148,27048896,28606104,25200776
134,3,0,0,110758344,165736096,,17262388,18310348,17985580,18755716,17985708,20458604,,28141404,28111088,28520616,27045240,28629680,25288068
135,244,0,0,110648380,165785512,,17133908,18292612,17995412,18754092,17989872,20482484,,28257524,28130696,28500836,27032260,28634564,25229632
136,4,0,0,110759408,165639820,,17271016,18298472,17987444,18758900,17981584,20461992,,28118684,28120264,28492612,27019012,28614868,25274380
137,3,0,0,110862960,165668948,,17320404,18299348,17989344,18759156,17978168,20516540,,28048784,28135644,28506916,27049792,28640708,25287104
